unixtime,x_position_m,y_position_m
1550133341,13.95,21.60
1550133343,13.95,25.60
1550133345,14.00,27.60
1550133453,14.76,41.10
1550133466,13.95,25.60
1550133756,14.88,21.60
1550133758,13.66,25.60
1550133760,14.00,27.60
1550133762,14.05,29.30
1550133766,14.20,37.80
1550133872,14.42,41.10
1550133874,14.00,37.80
1550133881,14.05,29.30
1550133883,14.00,27.60
1550133885,13.95,25.60
1550133888,14.26,21.60
1550133920,13.95,25.60
1550133921,14.00,27.60
1550133927,14.00,37.80
1550135788,13.95,25.60
1550135790,13.95,21.60
1550136466,14.93,41.10
1550136858,14.93,41.10
1550136860,14.20,37.80
1550136862,13.88,35.80
1550136865,14.05,29.30
1550136867,14.00,27.60
1550137043,13.95,21.60
1550137045,13.95,25.60
1550137048,14.00,27.60
1550137165,14.93,41.10
1550137786,14.93,41.10
1550138145,15.10,41.10
1550138397,14.25,41.10
1550138399,14.00,37.80
1550138401,13.66,35.80
1550138404,14.05,29.30
1550138406,14.00,27.60
1550138408,13.95,25.60
1550138410,13.95,21.60
1550138480,13.64,21.60
1550138483,13.95,25.60
1550138486,14.00,27.60
1550138502,15.20,37.80
1550138504,14.93,41.10
1550138640,15.10,41.10
1550139162,14.00,27.60
1550139171,15.10,41.10
1550139519,13.74,41.10
1550140430,14.25,41.10
1550140431,14.20,37.80
1550140434,13.88,35.80
1550140446,14.00,27.60
1550140448,13.95,25.60
1550140450,14.57,21.60
1550140771,13.95,25.60
1550140773,14.00,27.60
1550140774,14.05,29.30
1550140778,13.88,35.80
1550140780,14.00,37.80
1550140782,14.42,41.10
1550140944,13.95,25.60
1550141012,14.00,27.60
1550141015,15.13,29.30
1550141034,15.10,41.10
1550141078,15.10,41.10
1550141319,13.95,25.60
1550141321,14.00,27.60
1550141546,15.10,41.10
1550141618,14.93,41.10
1550141689,15.20,37.80
1550141691,14.25,41.10
1550141723,14.25,41.10
1550141725,15.20,37.80
