unixtime,x,y
1552291015.360,17.62,23.14
1552293310.909,19.84,29.29
1552294090.795,17.61,25.25
1552295593.102,17.61,25.25
1552295627.553,13.10,9.67
1552298071.186,7.06,31.51
1552298648.426,17.61,25.25
1552298658.960,19.54,24.25
1552299582.767,17.62,23.14
1552299745.387,30.45,21.51
1552300792.518,11.01,9.38
1552301497.489,17.61,25.25
1552302198.920,17.61,25.25
1552302761.801,17.61,25.25
1552303310.026,17.61,25.25
1552304653.394,27.76,21.46
1552304832.232,27.76,21.46
1552305023.549,17.61,25.25
1552306766.634,17.61,25.25
