#PDR_sens_No3_worker2_0214,1550132509,1550142346
#参考：エリア滞在率はABCで量子化する（A:80％以上，B:50％以上80％未満，C：50％未満 ）,,
Elapsed_time,Stayed_area_ID,Area_Dedication_Rate
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,24,5,C
14,24,80,A
15,36,50,B
16,12,95,A
17,12,100,A
18,12,100,A
19,12,100,A
20,12,80,A
21,36,90,A
22,36,70,B
23,36,20,C
24,36,60,B
25,36,85,A
26,36,100,A
27,36,100,A
28,36,100,A
29,36,100,A
30,36,100,A
31,36,100,A
32,36,100,A
33,36,50,B
34,19,90,A
35,19,100,A
36,19,100,A
37,19,100,A
38,19,90,A
39,36,90,A
40,36,100,A
41,36,35,C
42,17,90,A
43,17,100,A
44,17,100,A
45,17,100,A
46,17,100,A
47,17,100,A
48,17,100,A
49,17,100,A
50,17,100,A
51,17,60,B
52,,
53,,
54,24,35,C
55,31,5,C
56,36,70,B
57,36,100,A
58,36,100,A
59,36,100,A
60,,
61,36,5,C
62,36,100,A
63,36,90,A
64,36,100,A
65,36,90,A
66,36,80,A
67,24,80,A
68,24,100,A
69,24,100,A
70,36,60,B
71,36,50,B
72,14,10,C
73,14,10,C
74,14,35,C
75,14,40,C
76,25,90,A
77,36,30,C
78,36,100,A
79,36,100,A
80,36,100,A
81,36,100,A
82,36,100,A
83,36,100,A
84,36,100,A
85,36,100,A
86,36,100,A
87,36,90,A
88,19,80,A
89,19,100,A
90,19,100,A
91,19,100,A
92,19,100,A
93,19,50,B
94,36,100,A
95,36,100,A
96,36,100,A
97,36,100,A
98,36,5,C
99,24,10,C
100,36,100,A
101,36,100,A
102,17,50,B
103,17,100,A
104,17,100,A
105,17,100,A
106,17,100,A
107,17,100,A
108,17,100,A
109,17,100,A
110,17,90,A
111,36,90,A
112,36,100,A
113,36,100,A
114,36,100,A
115,36,80,A
116,30,90,A
117,36,100,A
118,36,100,A
119,36,100,A
120,36,100,A
121,36,100,A
122,36,100,A
123,36,100,A
124,36,100,A
125,36,100,A
126,36,100,A
127,36,100,A
128,36,100,A
129,36,100,A
130,36,100,A
131,36,95,A
132,12,65,B
133,12,100,A
134,12,100,A
135,12,100,A
136,12,100,A
137,12,61,B
138,36,100,A
139,36,100,A
140,30,20,C
141,,
142,24,20,C
143,36,50,B
144,24,90,A
145,16,70,B
146,16,100,A
147,19,10,C
148,19,100,A
149,19,100,A
150,19,50,B
151,36,75,B
152,24,65,B
153,30,55,B
154,24,100,A
155,24,100,A
156,24,100,A
