#PDR_sens_No5_worker4_0214,1550132642,1550142288
#参考：エリア滞在率はABCで量子化する（A:80％以上，B:50％以上80％未満，C：50％未満 ）,,
Elapsed_time,Stayed_area_ID,Area_Dedication_Rate
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,14,85,A
9,14,50,B
10,15,95,A
11,29,45,C
12,29,100,A
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,20,100,A
34,14,50,B
35,20,100,A
36,20,100,A
37,20,100,A
38,20,100,A
39,20,100,A
40,20,100,A
41,20,100,A
42,20,50,B
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,20,90,A
57,20,100,A
58,20,100,A
59,20,50,B
60,14,20,C
61,15,100,A
62,14,25,C
