unixtime,x,y
1552097156.558,12.65,9.38
1552097403.656,17.61,25.25
1552098022.022,17.61,25.25
1552098024.258,17.62,23.14
1552098026.440,17.61,25.25
1552098134.412,30.45,21.51
1552098136.917,19.12,29.29
1552098342.636,17.61,25.25
1552099005.002,17.62,23.14
1552099484.931,17.62,23.14
1552099518.738,19.54,24.25
1552099585.562,17.62,23.14
1552099766.467,11.01,9.38
1552100271.332,11.01,9.38
1552100361.150,17.61,25.25
1552100614.094,17.61,25.25
1552100637.643,7.06,31.51
1552101107.858,19.54,24.25
1552101597.185,36.48,21.51
1552102286.237,24.54,21.46
1552102291.431,24.54,21.46
1552102511.786,7.06,31.51
1552102550.655,17.62,23.14
1552103217.086,36.48,21.51
1552103473.435,11.01,9.38
1552103833.886,39.56,20.73
1552104236.024,22.00,23.07
1552104270.311,17.61,25.25
1552104361.287,24.54,21.46
1552104936.318,19.54,24.25
1552105064.857,17.62,23.14
1552105085.005,7.06,31.51
1552105179.188,19.54,24.25
1552105509.580,41.37,29.22
1552105911.839,17.62,23.14
1552105943.515,19.54,24.25
1552105968.554,17.61,25.25
1552106024.095,19.54,24.25
1552106078.534,36.48,21.51
1552106383.986,17.61,25.25
1552106970.404,36.48,21.51
1552107574.923,11.01,9.38
1552108353.041,17.61,25.25
1552108476.491,17.62,23.14
1552109014.053,36.48,21.51
1552109664.369,17.62,23.14
1552109833.128,7.06,31.51
1552109976.266,17.61,25.25
1552110782.876,17.62,23.14
1552111429.031,30.45,21.51
1552111552.853,17.61,25.25
1552113109.371,22.00,23.07
1552113112.039,21.91,23.41
1552113610.260,17.61,25.25
