Elapsed_time,Stayed_area_ID,Area_Dedication_Rate
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,24,C
11,24,A
12,24,B
13,,
14,,
15,,
16,,
17,,
18,36,C
19,36,B
20,36,A
21,36,A
22,24,C
23,36,C
24,36,A
25,36,A
26,36,A
27,36,A
28,36,A
29,36,B
30,24,A
31,24,A
32,24,A
33,24,C
34,,
35,16,C
36,17,C
37,36,A
38,24,B
39,24,A
40,19,B
41,19,A
42,19,A
43,19,A
44,19,A
45,36,C
46,,
47,36,B
48,36,B
49,30,B
50,12,A
51,12,A
52,12,A
53,12,A
54,12,A
55,24,C
56,,
57,17,C
58,17,A
59,17,A
60,17,A
61,17,A
62,17,A
63,17,A
64,17,A
65,17,A
66,24,B
67,24,A
68,36,A
69,24,C
70,25,B
71,17,C
72,,
73,,
74,12,C
75,36,B
76,36,A
77,36,A
78,36,A
79,36,A
80,36,A
81,36,A
82,36,A
83,30,B
84,36,A
85,36,A
86,25,B
87,36,B
88,36,A
89,36,C
90,17,C
91,36,B
92,17,A
93,36,B
94,36,C
95,36,A
96,36,A
97,36,A
98,19,C
99,19,A
100,19,A
101,19,A
102,19,C
103,36,A
104,36,A
105,36,A
106,36,C
107,36,B
108,36,A
109,36,A
110,36,A
111,36,A
112,36,A
113,19,A
114,19,B
115,36,A
116,36,B
117,17,A
118,17,A
119,17,A
120,17,A
121,17,A
122,17,A
123,17,A
124,36,B
125,36,A
126,36,A
127,36,C
128,17,B
129,17,C
130,,
131,,
132,19,B
133,36,C
134,,
135,36,C
136,36,A
137,36,C
138,,
139,26,C
140,,
141,17,B
142,17,A
143,36,B
144,36,B
145,,
146,24,C
147,12,C
148,16,A
149,16,B
150,24,A
151,24,A
152,24,A
153,24,A
154,24,A
155,24,B
156,19,C
157,19,A
158,19,A
159,19,A
160,19,A
161,19,C
162,24,C
163,30,A
164,31,B
165,,
166,31,B
167,31,A
168,36,C
169,12,A
170,12,A
171,12,A
172,12,A
173,11,C
174,36,A
175,36,A
176,36,B
177,31,B
178,30,A
179,36,C
180,36,A
181,36,B
182,24,A
183,24,B
184,36,A
185,30,B
186,31,A
187,24,B
