#PDR_sens_No2_worker1_0215,1550187858,1550199115
#参考：エリア滞在率はABCで量子化する（A:80％以上，B:50％以上80％未満，C：50％未満 ）,,
Elapsed_time,Stayed_area_ID,Area_Dedication_Rate
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,24,20,C
11,24,100,A
12,24,70,B
13,,
14,,
15,,
16,,
17,,
18,36,30,C
19,36,75,B
20,36,100,A
21,36,80,A
22,24,20,C
23,36,30,C
24,36,100,A
25,36,100,A
26,36,100,A
27,36,100,A
28,36,100,A
29,36,70,B
30,24,90,A
31,24,100,A
32,24,100,A
33,24,10,C
34,,
35,16,20,C
36,17,20,C
37,36,80,A
38,24,75,B
39,24,100,A
40,19,60,B
41,19,100,A
42,19,100,A
43,19,100,A
44,19,100,A
45,36,10,C
46,,
47,36,50,B
48,36,50,B
49,30,55,B
50,12,100,A
51,12,100,A
52,12,100,A
53,12,100,A
54,12,100,A
55,24,25,C
56,,
57,17,10,C
58,17,100,A
59,17,100,A
60,17,100,A
61,17,100,A
62,17,100,A
63,17,100,A
64,17,100,A
65,17,100,A
66,24,70,B
67,24,85,A
68,36,100,A
69,24,15,C
70,25,75,B
71,17,5,C
72,,
73,,
74,12,10,C
75,36,50,B
76,36,100,A
77,36,100,A
78,36,100,A
79,36,100,A
80,36,100,A
81,36,80,A
82,36,100,A
83,30,70,B
84,36,100,A
85,36,100,A
86,25,60,B
87,36,50,B
88,36,100,A
89,36,15,C
90,17,10,C
91,36,50,B
92,17,100,A
93,36,50,B
94,36,20,C
95,36,100,A
96,36,100,A
97,36,100,A
98,19,45,C
99,19,100,A
100,19,100,A
101,19,100,A
102,19,40,C
103,36,80,A
104,36,100,A
105,36,100,A
106,36,40,C
107,36,50,B
108,36,100,A
109,36,100,A
110,36,100,A
111,36,100,A
112,36,100,A
113,19,100,A
114,19,60,B
115,36,100,A
116,36,55,B
117,17,100,A
118,17,100,A
119,17,100,A
120,17,100,A
121,17,100,A
122,17,100,A
123,17,100,A
124,36,60,B
125,36,100,A
126,36,80,A
127,36,30,C
128,17,70,B
129,17,10,C
130,,
131,,
132,19,75,B
133,36,10,C
134,,
135,36,10,C
136,36,95,A
137,36,10,C
138,,
139,26,10,C
140,,
141,17,55,B
142,17,95,A
143,36,50,B
144,36,55,B
145,,
146,24,15,C
147,12,30,C
148,16,90,A
149,16,70,B
150,24,90,A
151,24,100,A
152,24,100,A
153,24,100,A
154,24,100,A
155,24,65,B
156,19,30,C
157,19,100,A
158,19,100,A
159,19,100,A
160,19,100,A
161,19,40,C
162,24,30,C
163,30,90,A
164,31,65,B
165,,
166,31,65,B
167,31,100,A
168,36,45,C
169,12,95,A
170,12,100,A
171,12,100,A
172,12,90,A
173,11,30,C
174,36,100,A
175,36,100,A
176,36,65,B
177,31,60,B
178,30,85,A
179,36,25,C
180,36,100,A
181,36,55,B
182,24,100,A
183,24,75,B
184,36,80,A
185,30,60,B
186,31,100,A
187,24,75,B
