#PDR_sens_No6_worker5_0215,1550187755,1550199074
#参考：エリア滞在率はABCで量子化する（A:80％以上，B:50％以上80％未満，C：50％未満 ）,,
Elapsed_time,Stayed_area_ID,Area_Dedication_Rate
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,15,100,A
10,15,100,A
11,15,100,A
12,15,100,A
13,15,100,A
14,15,100,A
15,15,100,A
16,15,75,B
17,15,50,B
18,15,10,C
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,15,25,C
36,15,50,B
37,15,70,B
38,10,30,C
39,15,100,A
40,15,100,A
41,15,100,A
42,15,45,C
43,15,80,A
44,21,60,B
45,21,100,A
46,21,100,A
47,21,100,A
48,21,100,A
49,21,100,A
50,21,70,B
51,21,100,A
52,21,75,B
53,14,20,C
54,21,70,B
55,15,70,B
56,15,55,B
57,,
58,15,10,C
59,15,15,C
60,,
61,23,25,C
62,23,100,A
63,23,100,A
64,23,100,A
65,23,100,A
66,23,25,C
