area,x_position,y_position,x_length,y_length
1,6.115,3.36,12.19,6.68
2,19.82,3.36,15.22,6.68
3,3.63,12.1,7.22,10.8
4,9.725,12.1,4.97,10.8
5,16.01,9.64,7.6,5.88
6,13.94,15.04,3.46,4.92
7,17.74,15.04,4.14,4.92
8,23.62,12.1,7.62,10.8
9,3.63,19.375,7.22,3.75
10,9.725,19.375,4.97,3.75
11,13.94,20.685,3.46,6.37
12,17.74,20.685,4.14,6.37
13,23.62,23.74,7.62,12.48
14,3.63,24.76,7.22,7.02
15,9.725,24.76,4.97,7.02
16,13.94,25.47,3.46,3.2
17,17.74,25.47,4.14,3.2
18,13.94,28.525,3.46,2.91
19,17.74,28.525,4.14,2.91
20,3.63,30.1,7.22,3.66
21,9.725,30.1,4.97,3.66
22,3.63,34.25,7.22,4.64
23,9.725,34.25,4.97,4.64
24,13.94,33.275,3.46,6.59
25,17.74,31.73,4.14,3.5
26,17.74,35.025,4.14,3.09
27,23.62,36.75,7.62,13.54
28,3.63,38.36,7.22,3.58
29,9.725,38.36,4.97,3.58
30,13.94,40.045,3.46,6.95
31,17.74,40.045,4.14,6.95
32,3.63,41.835,7.22,3.37
33,9.725,41.835,4.97,3.37
34,3.63,46.685,7.22,6.33
35,9.725,46.685,4.97,6.33
36,16.01,46.685,7.6,6.33
37,23.62,46.685,7.62,6.33
38,1.895,51.915,3.75,4.13
39,1.895,57.165,3.75,6.37
40,1.895,61.15,3.75,1.6
41,15.6,55.9,23.66,12.1
